department_name,latitude,longitude
Haute-Corse,42.3417465,9.2236694
Corse-du-Sud,41.9181477,8.7311756
Cantal,45.1276964,2.9800046
Haute-Loire,45.1309681,3.9157937
Allier,46.1882261,3.2950619
Puy-de-Dôme,45.5910997,3.2525684
Finistère,48.2020471,-4.2955704
Morbihan,47.8139381,-2.8128254
Ille-et-Vilaine,48.1147181,-1.6311724
Côtes-d'Armor,48.5225462,-2.7516004
Corrèze,45.3986805,1.8329325
Haute-Vienne,45.8858299,1.1940063
Creuse,46.2446937,1.7287038
Meuse,49.0769717,5.4067844
Vosges,48.1859222,6.4459359
Meurthe-et-Moselle,48.7539372,6.2026814
Aisne,49.5244936,3.2924477
Somme,49.9193377,2.3027782
Oise,49.4093583,2.8208749
Gironde,44.8554613,-0.5730341
Landes,43.9433782,-0.9635576
Pyrénées-Atlantiques,43.2951386,-0.5630642
Lot-et-Garonne,44.3294183,0.5047547
Dordogne,45.1453947,0.7393825
Saône-et-Loire,46.778429,4.5823782
Côte-d'Or,47.3439528,4.7477348
Yonne,47.8577249,3.5911936
Nièvre,47.130015,3.3978669
Ain,46.1983922,5.2410575
Isère,45.2853622,5.5889088
Haute-Savoie,46.0207139,6.2831346
Ardèche,44.6721864,4.3889717
Savoie,45.5403322,6.5378345
Rhône,45.7484601,4.8469489
Loire,45.586569,4.312946
Drôme,44.6939016,5.1494865
Jura,46.7499152,5.9290271
Haute-Saône,47.6334959,6.1846585
Doubs,47.1036742,6.3663205
Territoire de Belfort,47.638691,6.8623141
Essonne,48.5236043,2.2515755
Yvelines,48.8149858,1.9641557
Seine-et-Marne,48.5419857,2.6587599
Seine-Saint-Denis,48.9139331,2.4446422
Val-de-Marne,48.7920686,2.453042
Hauts-de-Seine,48.8389519,2.2226531
Val-d'Oise,49.0669264,2.1578058
Calvados,49.0656479,-0.4562399
Orne,48.7492062,-0.1238767
Manche,49.1072043,-1.3820779
Eure,49.0798651,0.8328774
Seine-Maritime,49.7085352,0.8684397
Aveyron,44.3509933,2.5720516
Tarn,43.8971576,2.144877
Lot,44.462725,1.8795078
Hautes-Pyrénées,43.152846,0.0914972
Gers,43.7708293,0.5544776
Haute-Garonne,43.4392283,1.5315676
Tarn-et-Garonne,44.0697882,1.2313944
Ariège,42.939841,1.5808329
Maine-et-Loire,47.4472252,-0.5507468
Vendée,46.6667904,-1.4276092
Loire-Atlantique,47.3467269,-1.6183072
Sarthe,47.834639,0.219374
Mayenne,48.0711062,-0.7599632
Deux-Sèvres,46.9046721,-0.3643017
Charente,45.7270867,0.1767682
Vienne,46.580224,0.2985866
Charente-Maritime,45.8757507,-0.9828753
Haute-Marne,48.0808334,5.1341892
Aube,48.4041586,4.2779513
Ardennes,49.5757303,4.7902733
Marne,49.0911407,4.109025
Nord,50.4462859,3.5246404
Pas-de-Calais,50.4850581,2.793437
Indre-et-Loire,47.2911304,0.9218669
Eure-et-Loir,48.4437334,1.4533662
Loir-et-Cher,47.5534629,1.334817
Indre,46.8191634,1.6905969
Cher,47.1853027,2.393829
Loiret,47.9650816,2.342802
Pyrénées-Orientales,42.6156512,2.6140445
Gard,43.945862,4.4044185
Hérault,43.5912356,3.2583627
Aude,43.216172,2.3519006
Lozère,44.4271277,3.6196452
Vaucluse,43.9976994,5.137781
Hautes-Alpes,44.6009884,6.187926
Alpes-de-Haute-Provence,44.0924627,6.2357127
Var,43.4179782,6.3963288
Alpes-Maritimes,43.7817303,7.0971461
Bouches-du-Rhône,43.4712498,5.5720017
